None,14.7,15.3,73_0,0.2913|0.289|0.261|0.2729|0.2641|0.2627|0.2525,0.6542|0.6547|0.6573|0.6589|0.6594|0.6604|0.6438,0.2343|0.2343|0.2343|0.2333|0.2324|0.2333|0.2296,0.0271|0.0281|0.0271|0.026|0.0255|0.0255|0.0229,0.088|0.088|0.088|0.0889|0.0907|0.0889|0.0917
None,15.7,15.9,0_2,0.9297|0.9315|0.9317,0.7188|0.7167|0.7135,0.1565|0.1537|0.1565,0.1552|0.1568|0.1521,0.7167|0.7148|0.7167
None,15.3,15.9,62_0,0.2649|None|0.2644|0.381|0.3844|None|0.2572,0.475|None|0.4776|0.4786|0.4792|None|0.4818,0.2602|None|0.2565|0.2565|0.2556|None|0.2583,0.0688|None|0.0724|0.0708|0.0719|None|0.0698,0.1259|None|0.1306|0.1315|0.1324|None|0.1278
None,17.1,18.0,0_3,0.9351|0.9331|0.9319|0.9292|0.9317|0.933|0.934|0.9249|0.9212|0.917,0.7349|0.738|0.1562|0.1547|0.1542|0.1578|0.1531|0.1516|0.7458|0.7443,0.1407|0.137|0.2509|0.2537|0.288|0.3019|0.3148|0.3194|0.1352|0.1352,0.1583|0.1583|0.2276|0.2286|0.2276|0.2229|0.2255|0.226|0.1568|0.1589,0.7213|0.7278|0.6148|0.6102|0.575|0.563|0.5481|0.5444|0.7287|0.7278
None,13.4,18.9,39_0,0.3494|None|0.3245|0.2736|0.2644|0.3493|0.3683|0.2808|0.4115|0.2629|0.293|0.3637|0.3243|0.282|0.307|0.2576|0.4312|0.3407|0.4049|0.4837|0.5732|0.4925|0.2979|0.4031|0.2531|0.3014|0.3342|0.2511|0.3051|0.3049|0.2653|0.3973|0.3704|0.3928|0.4018|0.3801|0.3765|0.3881|0.3969|0.269|0.3113|0.3177|0.3498|0.3433|0.3581|0.3338|0.2578|0.2589|0.2607|0.3324|0.2888|None|0.2806|0.274|0.2609|0.2637,0.0099|None|0.0182|0.0083|0.0135|0.0339|0.0214|0.0411|0.0453|0.0339|0.0526|0.0406|0.0589|0.0589|0.0615|0.0458|0.062|0.063|0.0641|0.0661|0.0688|0.0693|0.0698|0.0698|0.0698|0.0708|0.0714|0.0578|0.0573|0.0573|0.0578|0.0719|0.0719|0.0719|0.0719|0.0719|0.0719|0.0719|0.0719|0.0578|0.0578|0.0578|0.0719|0.0734|0.0724|0.0729|0.0729|0.0573|0.0734|0.0573|0.0734|None|0.0729|0.0578|0.074|0.074,0.4546|None|0.4389|0.4898|0.4944|0.4769|0.5009|0.4667|0.4787|0.5074|0.4815|0.5093|0.4972|0.4843|0.4991|0.5074|0.4704|0.4731|0.4741|0.4713|0.4704|0.4796|0.4898|0.4898|0.4824|0.4769|0.4787|0.5065|0.5056|0.5056|0.5065|0.4657|0.4778|0.4787|0.4796|0.4787|0.4787|0.4759|0.4759|0.5037|0.5037|0.5028|0.4833|0.4852|0.4778|0.4824|0.4815|0.4917|0.4778|0.4843|0.4806|None|0.4778|0.4815|0.4824|0.4815,0.0188|None|0.0193|0.0156|0.0135|0.0198|0.0161|0.0198|0.0208|0.0156|0.0219|0.0151|0.0203|0.0203|0.0193|0.0151|0.0203|0.0208|0.0203|0.0214|0.0203|0.0214|0.0208|0.0214|0.0219|0.0219|0.0219|0.0141|0.0146|0.0146|0.0146|0.0203|0.0203|0.0203|0.0203|0.0203|0.0203|0.0203|0.0203|0.0141|0.0141|0.0141|0.0208|0.0177|0.0198|0.0193|0.0198|0.0146|0.0193|0.0151|0.0188|None|0.0198|0.0141|0.0177|0.0172,0.0981|None|0.1139|0.0565|0.0565|0.1028|0.0694|0.1185|0.112|0.0648|0.1148|0.062|0.1046|0.0981|0.1037|0.0676|0.1148|0.112|0.113|0.1296|0.1296|0.1185|0.1019|0.1009|0.1111|0.1111|0.112|0.0602|0.062|0.062|0.0611|0.1102|0.1074|0.1056|0.1046|0.1056|0.1037|0.1083|0.1074|0.062|0.062|0.0648|0.0981|0.1009|0.1074|0.1019|0.0991|0.0593|0.0954|0.0685|0.0963|None|0.0935|0.063|0.088|0.088
None,18.4,18.6,73_0,0.295|0.2729|0.2503,0.6677|0.6688|0.6698,0.2102|0.2093|0.2083,0.0286|0.0276|0.0255,0.088|0.087|0.0907
None,19.5,19.8,0_3,0.922|0.9257|0.9282|0.9323,0.1583|0.7432|0.7422|0.7438,0.3565|0.1324|0.1324|0.1315,0.237|0.1667|0.1682|0.1672,0.5074|0.7296|0.7269|0.7296
None,19.4,20.1,39_0,0.3241|0.2901|0.2661|0.2949|0.2946|0.2669|0.3225|0.2997,0.0719|0.0583|0.0615|0.0724|0.0724|0.0578|0.0719|0.0719,0.4657|0.4796|0.4722|0.4685|0.4694|0.4778|0.4639|0.462,0.0208|0.0141|0.026|0.0203|0.0203|0.0141|0.0203|0.0203,0.0963|0.063|0.0843|0.0898|0.0926|0.0639|0.1|0.1009
None,19.5,19.9,39_1,0.3258|0.3159|0.3228|0.3078|0.3262,0.0724|0.0583|0.0578|0.0573|0.0724,0.4657|0.4796|0.4787|0.4778|0.4667,0.0203|0.0135|0.0141|0.0146|0.0203,0.0963|0.063|0.0648|0.0657|0.0944
None,20.5,21.3,75_0,0.2757|0.3206|0.3343|0.3415|0.3415|0.3297|0.3274|0.2827|0.2924,0.0094|0.0094|0.0099|0.0099|0.0099|0.0099|0.0099|0.0099|0.0099,0.463|0.463|0.462|0.462|0.462|0.462|0.462|0.462|0.462,0.0375|0.037|0.0365|0.037|0.037|0.037|0.037|0.037|0.037,0.0824|0.0833|0.0833|0.0833|0.0824|0.0833|0.0833|0.0824|0.0833
