None,3.3,7.3,0_2,0.709|0.6494|0.6751|0.689|0.7399|0.7834|0.7607|0.7748|0.7875|0.5083|0.4935|0.4981|0.7605|0.7947|0.7972|0.7872|0.8118|0.8295|0.7857|0.7979|0.8311|0.8123|0.7977|0.9341|0.9355|0.9361|0.9401|0.7906|0.8933|0.8742|0.7903|0.8612|0.8593|0.9013|0.8712|0.8751|0.871|0.8859|0.8727|0.7741|0.7546,0.4992|0.507|0.5047|0.4992|0.4961|0.4922|0.493|0.4891|0.4914|0.1359|0.2383|0.2398|0.5148|0.5125|0.5133|0.5125|0.5125|0.5133|0.5148|0.518|0.5203|0.5328|0.5359|0.4836|0.475|0.4648|0.4492|0.2305|0.3898|0.357|0.3664|0.3234|0.3227|0.3242|0.3234|0.332|0.3328|0.3336|0.3273|0.3289|0.2289,0.4194|0.4278|0.4264|0.4139|0.4|0.3931|0.3875|0.3806|0.3736|0.4653|0.5708|0.5653|0.2917|0.2861|0.2806|0.2778|0.2778|0.2778|0.275|0.2778|0.2819|0.2819|0.2861|0.1056|0.1153|0.1222|0.1361|0.2681|0.1778|0.1667|0.2347|0.1458|0.1417|0.1403|0.1472|0.1514|0.1458|0.1389|0.1361|0.1417|0.2653,0.1578|0.1391|0.1531|0.1641|0.1625|0.168|0.168|0.1766|0.1758|0.1109|0.1352|0.1352|0.175|0.1695|0.1656|0.1758|0.1664|0.1656|0.1633|0.1625|0.1609|0.1602|0.1703|0.3102|0.3172|0.325|0.3352|0.1453|0.3742|0.4047|0.0836|0.475|0.4859|0.507|0.4992|0.4828|0.4953|0.5109|0.525|0.5523|0.1469,0.3722|0.3236|0.3764|0.4014|0.3972|0.3986|0.4083|0.4167|0.4222|0.3542|0.2681|0.2681|0.5056|0.5097|0.5139|0.5222|0.5236|0.5222|0.55|0.5597|0.5389|0.55|0.5264|0.8917|0.8736|0.8611|0.8528|0.4472|0.8222|0.8333|0.3083|0.8542|0.8583|0.8597|0.8528|0.8486|0.8542|0.8611|0.8639|0.8583|0.45
None,4.2,4.4,0_3,0.789|0.7711|0.7901,0.4859|0.507|0.5117,0.35|0.3208|0.3014,0.1867|0.1758|0.1758,0.4458|0.4764|0.4972
None,5.7,6.0,41_0,0.2883|None|0.2727|0.2693,0.7594|None|0.3664|0.3664,0.6931|None|0.5819|0.5819,0.043|None|0.0242|0.0242,0.0764|None|0.0722|0.075
None,11.7,11.9,0_1,0.5689|None|0.6515,0.1062|None|0.1172,0.0792|None|0.0694,0.7023|None|0.8047,0.9167|None|0.9306
None,11.7,12.0,67_0,0.2733|0.2559|None|0.3125,0.7547|0.3711|None|0.3758,0.6903|0.3458|None|0.3153,0.0516|0.0586|None|0.0516,0.0833|0.1181|None|0.1194
None,12.4,12.9,0_1,0.7925|0.8212|0.8226|0.712|0.7313|0.5888,0.1242|0.1273|0.1297|0.1328|0.1312|0.1297,0.0722|0.0792|0.0792|0.0806|0.0819|0.0833,0.6922|0.6859|0.6797|0.6758|0.6758|0.6867,0.9278|0.9194|0.9208|0.9167|0.9139|0.9111
None,13.1,14.0,41_0,0.2536|0.3716|0.2574|0.291|0.322|0.2741|0.3866|0.3887|0.3972|0.4323,0.9539|0.9539|0.9531|0.9531|0.9531|0.9531|0.9531|0.9531|0.9531|0.9531,0.8694|0.8708|0.8694|0.8694|0.8694|0.8708|0.8722|0.8736|0.8722|0.8708,0.0461|0.0461|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469|0.0469,0.1292|0.1278|0.1292|0.1292|0.1292|0.1278|0.1264|0.125|0.1264|0.1278
None,2.9,5.5,60_0,0.2944|0.4255|0.5904|None|0.4827|0.468|0.4478|0.4575|0.4645|0.4486|0.4571|0.4891|0.4773|0.4634|0.4696|0.4362|0.4094|0.4244|0.4165|0.4871|0.4906|0.4652|0.4784|0.4216|0.4606|0.4959|0.4848,0.3633|0.3547|0.3469|None|0.3414|0.3422|0.3414|0.3391|0.3391|0.3398|0.3422|0.3414|0.3398|0.3414|0.3398|0.3406|0.3391|0.3414|0.3383|0.3391|0.3398|0.3445|0.3453|0.3594|0.3523|0.3531|0.3547,0.5486|0.5236|0.4958|None|0.4833|0.4833|0.4833|0.4819|0.4792|0.4778|0.4792|0.4792|0.4764|0.4833|0.4833|0.4792|0.475|0.4778|0.4764|0.4722|0.4722|0.4722|0.4778|0.4806|0.4764|0.4792|0.4792,0.2695|0.2875|0.3016|None|0.2977|0.2977|0.293|0.2937|0.2977|0.2984|0.2922|0.3047|0.3055|0.3039|0.3023|0.2922|0.2898|0.2937|0.2945|0.2977|0.3008|0.2914|0.2969|0.2891|0.2828|0.2742|0.2727,0.3847|0.4403|0.4778|None|0.4611|0.4889|0.4917|0.4958|0.5|0.5014|0.5014|0.5042|0.5083|0.4889|0.4917|0.4986|0.4986|0.5014|0.4972|0.5083|0.5181|0.5139|0.5083|0.5097|0.5111|0.5042|0.4986
None,5.5,6.0,56_0,0.4228|0.5922|0.6745|0.5205|0.2669|0.4923,0.4703|0.7141|0.7148|0.7148|0.7594|0.7336,0.4222|0.7833|0.7819|0.7861|0.6917|0.7944,0.075|0.1117|0.1133|0.1125|0.0437|0.0906,0.1486|0.2139|0.2153|0.2111|0.0806|0.2028
None,3.0,7.3,45_0,0.3021|0.448|None|0.3968|0.3644|0.3397|0.3294|0.3489|0.3584|0.3632|0.3693|0.3722|0.3648|0.3646|0.3547|0.3241|0.3098|0.2925|0.3472|0.3411|0.3504|0.3528|0.3298|0.3291|0.3227|0.3274|0.6311|0.6382|0.6317|0.605|0.611|0.6058|0.5754|0.5292|0.5378|0.5235|0.5181|0.4992|0.4516|0.4462|0.4781|0.4808|0.5052|0.4878,0.4273|0.4187|None|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4187|0.4203|0.4203|0.4187|0.4187|0.4195|0.4195|0.4195|0.4187|0.4195|0.4195|0.1086|0.1086|0.1086|0.4156|0.1086|0.1078|0.1078|0.1086|0.1086|0.1078|0.1086|0.1086|0.1086|0.1086|0.1086|0.1086|0.1094|0.1094,0.7069|0.6833|None|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6806|0.6806|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.6819|0.4806|0.4806|0.4806|0.5764|0.4792|0.4792|0.4792|0.4792|0.4792|0.4806|0.4806|0.4806|0.4806|0.4806|0.4806|0.4806|0.4806|0.4806,0.0328|0.0375|None|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0375|0.0352|0.0352|0.0375|0.0375|0.0367|0.0367|0.0367|0.0375|0.0367|0.0367|0.0859|0.0859|0.0867|0.0437|0.0859|0.0875|0.0875|0.0859|0.0867|0.0867|0.0859|0.0859|0.0867|0.0859|0.0859|0.0859|0.0852|0.0852,0.0514|0.0569|None|0.0597|0.0597|0.0611|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0611|0.0611|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0597|0.0611|0.0806|0.0806|0.0806|0.0528|0.0819|0.0819|0.0819|0.0819|0.0819|0.0806|0.0806|0.0806|0.0806|0.0806|0.0792|0.0806|0.0806|0.0806
